Date	Device	Signal
Wed Jul  1 10:14:21 2015	J10i	-63
Wed Jul  1 10:14:21 2015	-55
Wed Jul  1 10:14:21 2015	Martina?s MacBook Pro	-73
Wed Jul  1 10:14:31 2015	J10i	-64
Wed Jul  1 10:14:42 2015	J10i	-56
Wed Jul  1 10:14:53 2015	J10i	-57
Wed Jul  1 10:14:53 2015	GX15	-61
Wed Jul  1 10:14:53 2015	-84
Wed Jul  1 10:14:53 2015	Martina?s MacBook Pro	-73
Wed Jul  1 10:15:04 2015	GX15	-58
Wed Jul  1 10:15:04 2015	J10i	-60
Wed Jul  1 10:15:14 2015	J10i	-64
Wed Jul  1 10:15:24 2015	GX15	-59
Wed Jul  1 10:15:24 2015	Martina?s MacBook Pro	-76
Wed Jul  1 10:15:24 2015	J10i	-62
Wed Jul  1 10:15:35 2015	J10i	-59
Wed Jul  1 10:15:35 2015	GX15	-62
Wed Jul  1 10:15:45 2015	J10i	-61
Wed Jul  1 10:15:45 2015	GX15	-54
Wed Jul  1 10:15:56 2015	GX15	-65
Wed Jul  1 10:15:56 2015	Martina?s MacBook Pro	-79
Wed Jul  1 10:16:06 2015	Martina?s MacBook Pro	-74
Wed Jul  1 10:16:06 2015	J10i	-58
Wed Jul  1 10:16:17 2015	J10i	-61
Wed Jul  1 10:16:17 2015	Martina?s MacBook Pro	-76
Wed Jul  1 10:16:27 2015	J10i	-61
Wed Jul  1 10:16:47 2015	GX15	-61
Wed Jul  1 10:16:58 2015	J10i	-62
Wed Jul  1 10:16:58 2015	GX15	-52
Wed Jul  1 10:16:58 2015	Martina?s MacBook Pro	-79
Wed Jul  1 10:17:08 2015	J10i	-60
Wed Jul  1 10:17:08 2015	GX15	-61
Wed Jul  1 10:17:19 2015	J10i	-63
Wed Jul  1 10:17:19 2015	J10i	-58
Wed Jul  1 10:17:19 2015	GX15	-58
Wed Jul  1 10:17:29 2015	GX15	-61
Wed Jul  1 10:17:29 2015	J10i	-62
Wed Jul  1 10:17:40 2015	J10i	-73
Wed Jul  1 10:17:40 2015	GX15	-57
Wed Jul  1 10:17:50 2015	GX15	-56
Wed Jul  1 10:18:01 2015	J10i	-59
Wed Jul  1 10:18:01 2015	Martina?s MacBook Pro	-71
Wed Jul  1 11:27:59 2015	Nokia108	-72
Wed Jul  1 11:27:59 2015	S5610	-58
Wed Jul  1 11:27:59 2015	GX15	-60
Wed Jul  1 11:27:59 2015	Feild?s MacBook Pro	-65
Wed Jul  1 11:27:59 2015	Apple Bluetooth Device	-73
Wed Jul  1 11:28:09 2015	Nokia108	-70
Wed Jul  1 11:28:09 2015	Apple Bluetooth Device	-80
Wed Jul  1 11:28:09 2015	GX15	-48
Wed Jul  1 11:28:09 2015	S5610	-58
Wed Jul  1 11:28:09 2015	J10i	-79
Wed Jul  1 11:28:20 2015	Nokia108	-74
Wed Jul  1 11:28:20 2015	S5610	-58
Wed Jul  1 11:28:20 2015	GX15	-69
Wed Jul  1 11:28:30 2015	GX15	-52
Wed Jul  1 11:28:30 2015	S5610	-61
Wed Jul  1 11:28:30 2015	Apple Bluetooth Device	-80
Wed Jul  1 11:28:30 2015	Feild?s MacBook Pro	-70
Wed Jul  1 11:28:41 2015	J10i	-72
Wed Jul  1 11:28:41 2015	Apple Bluetooth Device	-79
Wed Jul  1 11:28:41 2015	Nokia108	-75
Wed Jul  1 11:28:41 2015	GX15	-66
Wed Jul  1 11:28:41 2015	S5610	-58
Wed Jul  1 11:28:56 2015	S5610	-62
Wed Jul  1 11:28:56 2015	GX15	-61
