,Shoes,Sweaters,Watches,Grand Total,Latitude,Longitude
Barcelona,1703397.22,1241957.08,1756567.89,4701922.19,41.385064,2.173403
Beijing,1668893.46,1027888.81,1147183.71,3843965.98,39.904211,116.407395
Berlin,1437829.45,1236243.74,1488164.52,4162237.71,52.520007,13.404954
Boston,1220672.38,1818776.76,1308091.09,4347540.23,42.360083,-71.05888
Cambridge,1129549.9,1506140.49,1472784.99,4108475.38,42.373616,-71.109733
Chicago,1447682,1819170.44,1315735.24,4582587.68,41.878114,-87.629798
Detroit,1263732.31,1248658.83,1440151.22,3952542.36,42.331427,-83.045754
Dublin,1437880.11,1363655.12,1545548.14,4347083.37,53.349805,-6.26031
Jakarta,1570579.26,1772910.15,1394894.18,4738383.59,-6.208763,106.845599
Kuala Lumpur,1389350.95,1503427.2,1090250.73,3983028.88,3.139003,101.686855
Lisbon,1605562.63,1176925.63,1261390.86,4043879.12,38.722252,-9.139337
London,1290511.79,1634570.83,1459946.33,4385028.95,51.507351,-0.127758
Los Angeles,1071442.25,1362431.7,1596320.54,4030194.49,34.052234,-118.243685
New Delhi,1732100.57,1568784.02,1138067.48,4438952.07,28.613939,77.209021
New York,1660639.4,1234666.1,1642099.75,4537405.25,40.712784,-74.005941
Paris,1492310.17,913326.62,1453939.32,3859576.11,48.856614,2.352222
Rio de Janeiro,1273244.92,1314270.42,1298281.56,3885796.9,-22.906847,-43.172896
Seoul,1382493.8,1234511.48,1213335.63,3830340.91,37.566535,126.977969
Shanghai,-1049913.49,1814661.74,1697042.69,2461790.94,31.230416,121.473701
Grand Total,24727959.08,26792977.16,26719795.87,78240732.11,,
