timestamp,mod,sF,id,fromType
1,44351E+12,B,1,120,Map
1,44353E+12,B,2,120,Map
1,44351E+12,B,1,6,Swap
1,44353E+12,B,2,6,Swap
1,44351E+12,B,1,76,Trigger
1,44353E+12,B,2,76,Trigger
1,44351E+12,B,1,83,Map
1,44353E+12,B,2,83,Map
1,44351E+12,B,1,84,IF
1,44353E+12,B,1,85,Counter
1,44351E+12,B,2,85,Counter
1,44353E+12,B,1,87,Swap
1,44351E+12,B,2,87,Swap
1,44353E+12,B,1,96,Swap
1,44353E+12,B,2,96,Swap
1,44319E+12,BM,1,11,BTN
1,44351E+12,BM,2,11,BTN
1,44353E+12,BM,1,11,POT
1,44351E+12,BM,2,11,POT
1,44353E+12,BM,1,15,LED
1,44351E+12,BM,2,15,LED
1,44353E+12,BM,1,18,BTN
1,44351E+12,BM,1,18,PEZ
1,44353E+12,BM,2,18,PEZ
1,44351E+12,BM,1,19,BTN
1,44353E+12,BM,2,19,BTN
1,44351E+12,BM,1,1,BTN
1,44353E+12,BM,1,1,BTN
1,44351E+12,BM,2,1,BTN
1,44353E+12,BM,1,1,LED
1,44351E+12,BM,2,1,LED
1,44353E+12,BM,1,1,PEZ
1,4432E+12,BM,2,1,PEZ
1,44351E+12,BM,1,1,RGB
1,44353E+12,BM,1,25,PEZ
1,44351E+12,BM,2,25,PEZ
1,44353E+12,BM,1,28,COL
1,44351E+12,BM,2,28,COL
1,44353E+12,BM,1,30,RGB
1,44351E+12,BM,2,30,RGB
1,44353E+12,BM,1,3,BTN
1,44351E+12,BM,2,3,BTN
1,44353E+12,BM,1,3,BTN
1,44351E+12,BM,1,3,LED
1,44353E+12,BM,2,3,LED
1,44351E+12,BM,1,44,BTN
1,44353E+12,BM,1,46,RGB
1,44351E+12,BM,2,46,RGB
1,44353E+12,BM,1,48,RGB
1,44351E+12,BM,2,48,RGB
1,44353E+12,BM,1,4,COL
1,44351E+12,BM,1,4,LED
1,44353E+12,BM,1,50,RGB
1,44351E+12,BM,2,50,RGB
1,44353E+12,BM,1,52,RGB
1,44351E+12,BM,1,54,RGB
1,44353E+12,BM,2,54,RGB
1,44351E+12,BM,1,56,RGB
1,44353E+12,BM,1,58,RGB
1,44351E+12,BM,1,7,RGB
1,44353E+12,BM,1,9,LED
1,44351E+12,BM,2,9,LED
1,44353E+12,CC,1,116,Fade
1,44351E+12,CC,1,116,Fade
1,44353E+12,CC,1,116,Fade
1,44351E+12,CC,1,116,Fade
1,44353E+12,CC,1,116,Fade
1,44351E+12,CC,1,116,Fade
1,44353E+12,CC,1,122,Fade
1,44351E+12,CC,1,122,Fade
1,44353E+12,CC,1,128,Swap
1,44351E+12,CC,1,131,IF
1,44353E+12,CC,1,131,IF
1,44351E+12,CC,1,131,IF
1,44353E+12,CC,1,135,Swap
1,44351E+12,CC,1,138,Fade
1,44353E+12,CC,1,138,Fade
1,44351E+12,CC,1,13,Swap
1,44353E+12,CC,1,13,Swap
1,44351E+12,CC,1,140,Swap
1,44353E+12,CC,1,141,IF
1,44351E+12,CC,1,141,IF
1,44353E+12,CC,1,141,IF
1,44351E+12,CC,1,40,Counter
1,44353E+12,CC,1,62,Swap
1,44351E+12,CC,1,6,Swap
1,44353E+12,CC,1,6,Swap
1,44351E+12,CC,1,84,IF
1,44353E+12,CC,1,84,IF
1,44351E+12,CC,1,84,IF
1,44353E+12,CC,1,84,IF
1,44351E+12,CC,1,84,IF
1,44353E+12,CC,1,84,IF
1,44351E+12,CC,1,84,IF
1,44353E+12,CC,1,84,IF
1,44351E+12,CC,1,84,IF
1,44353E+12,L,1,00-116Fade-44,BTN
1,44351E+12,L,1,00-116Fade-84,IF
1,44353E+12,L,1,00-11BTN-13,Swap
1,44351E+12,L,2,00-11BTN-13,Swap
1,44353E+12,L,1,00-11POT-25,PEZ
1,44351E+12,L,2,00-11POT-25,PEZ
1,44353E+12,L,1,00-11POT-9,LED
1,44351E+12,L,2,00-11POT-9,LED
1,44353E+12,L,1,00-3BTN-1,LED
1,44351E+12,L,2,00-3BTN-1,LED
1,44353E+12,L,1,00-3BTN-1,PEZ
1,44351E+12,L,2,00-3BTN-1,PEZ
1,44353E+12,L,1,00-3BTN-7,RGB
1,44351E+12,L,1,00-3LED-1,BTN
1,44353E+12,L,2,00-3LED-1,BTN
1,44351E+12,L,1,00-44BTN-60,Map
1,44353E+12,L,2,00-44BTN-60,Map
1,4432E+12,M,1,6,PEZ
1,4432E+12,M,2,6,PEZ
1,44319E+12,M,1,7,RGB
1,44319E+12,M,2,7,RGB
1,44351E+12,M,1,8,BTN
1,44352E+12,M,2,8,BTN
1,44351E+12,M,1,9,RGB
1,44352E+12,M,2,9,RGB
1,44351E+12,UI,OPENED,,
1,44353E+12,UI,CLOSED,,
