timestamp,mod,sF,id,fromType
1443514799246,B,1,120,Map
1443514799246,B,2,120,Map
1443514799246,B,1,6,Swap
1443514799246,B,2,6,Swap
1443514799246,B,1,83,Map
1443514799246,B,2,83,Map
1443514799246,BM,1,11,BTN
1443514799246,BM,2,11,BTN
1443514799246,BM,1,11,POT
1443514799246,BM,2,11,POT
1443514799246,BM,1,15,LED
1443514799246,BM,2,15,LED
1443514799246,BM,1,18,BTN
1443514799246,BM,1,18,PEZ
1443520799246,BM,2,18,PEZ
1443514799246,BM,1,19,BTN
1443514799246,BM,2,19,BTN
1443514799246,BM,1,30,RGB
1443514799246,BM,2,30,RGB
1443514799246,BM,1,3,BTN
1443514799246,BM,2,3,BTN
1443514799246,BM,1,3,BTN
1443514799246,BM,1,3,LED
1443514799246,BM,2,3,LED
1443514799246,BM,1,44,BTN
1443514799246,BM,1,50,RGB
1443514799246,BM,2,50,RGB
1443514799246,BM,1,9,LED
1443514799246,BM,2,9,LED
1443204740097,BM,1,17,TMP
1443204740097,BM,2,18,TMP
1443514799246,CC,1,128,Swap
1443514799246,CC,1,131,Map
1443204740097,CC,1,30,TMP
1443204740097,CC,2,31,TMP
1443204740097,CC,1,32,TMP
1443204740097,CC,2,33,TMP
1443204740097,CC,1,34,TMP
1443204740097,CC,2,35,TMP
1443204740097,CC,1,36,TMP
1443204740097,CC,2,37,TMP
1443204740097,CC,1,38,TMP
1443204740097,CC,2,39,TMP
1443204740097,CC,1,40,TMP
1443204740097,CC,2,18,TMP
1443514799246,L,1,00-116Fade-44,BTN
1443514799246,L,1,00-116Fade-84,Map
1443514799246,L,1,00-11BTN-13,Swap
1443514799246,L,2,00-11BTN-13,Swap
1443514799246,L,1,00-11POT-25,PEZ
1443514799246,L,2,00-11POT-25,PEZ
1443514799246,L,1,00-11POT-9,LED
1443514799246,L,2,00-11POT-9,LED
1443514799246,L,1,00-3BTN-1,LED
1443514799246,L,2,00-3BTN-1,LED
1443514799246,L,1,00-3BTN-1,PEZ
1443514799246,L,2,00-3BTN-1,PEZ
1443514799246,L,1,00-3BTN-7,RGB
1443188621236,L,1,00-3LED-1,BTN
1443188742069,L,2,00-3LED-1,BTN
1443190183634,L,1,00-44BTN-60,Map
1443190240150,L,2,00-44BTN-60,Map
1443204740097,L,1,00-44TMP-60,TMP
1443204740097,L,2,00-44TMP-60,TMP
1443204740097,M,1,15,TMP
1443204740097,M,2,16,TMP
1443204740097,M,1,6,PEZ
1443204840207,M,2,6,PEZ
1443191103149,M,1,7,RGB
1443191273832,M,2,7,RGB
1443514799246,M,1,8,BTN
1443518666445,M,2,8,BTN
1443514799246,M,1,9,RGB
1443525666445,M,2,9,RGB
1443514799246,UI,OPENED
1443525666445,UI,CLOSED
