Date	Device	Signal
Wed Jul  1 11:02:18 2015	-90
Wed Jul  1 11:03:53 2015	-89
Wed Jul  1 11:04:26 2015	-92
Wed Jul  1 11:04:38 2015	-92
Wed Jul  1 11:04:49 2015	GX15	-91
Wed Jul  1 11:04:49 2015	GX15	-87
Wed Jul  1 11:04:59 2015	GX15	-83
Wed Jul  1 11:05:10 2015	GX15	-88
Wed Jul  1 11:06:44 2015	GX15	-86
Wed Jul  1 11:06:57 2015	GX15	-90
Wed Jul  1 11:06:57 2015	-88
Wed Jul  1 11:06:57 2015	-92
Wed Jul  1 11:06:57 2015	GX15	-85
Wed Jul  1 11:06:57 2015	GX15	-89
Wed Jul  1 11:06:57 2015	GX15	-93
Wed Jul  1 11:06:57 2015	GX15	-83
Wed Jul  1 11:07:07 2015	GX15	-86
Wed Jul  1 11:07:07 2015	GX15	-87
Wed Jul  1 11:07:18 2015	GX15	-84
Wed Jul  1 11:07:39 2015	SEC02GJ54SDV7M	-88
Wed Jul  1 11:07:49 2015	GX15	-86
Wed Jul  1 11:08:21 2015	GX15	-90
Wed Jul  1 11:08:31 2015	GX15	-84
Wed Jul  1 11:08:31 2015	GX15	-86
Wed Jul  1 11:08:31 2015	GX15	-90
Wed Jul  1 11:08:42 2015	GX15	-87
Wed Jul  1 11:08:42 2015	GX15	-88
Wed Jul  1 11:08:42 2015	SEC02GJ54SDV7M	-91
Wed Jul  1 11:08:42 2015	GX15	-85
Wed Jul  1 11:09:04 2015	GX15	-86
Wed Jul  1 11:09:04 2015	GX15	-90
Wed Jul  1 11:09:04 2015	-89
Wed Jul  1 11:09:14 2015	GX15	-88
Wed Jul  1 11:09:14 2015	GX15	-85
Wed Jul  1 11:09:25 2015	GX15	-86
Wed Jul  1 11:09:25 2015	GX15	-91
Wed Jul  1 11:09:35 2015	GX15	-91
Wed Jul  1 11:09:35 2015	GX15	-87
Wed Jul  1 11:09:46 2015	GX15	-90
Wed Jul  1 11:09:46 2015	edc	-89
Wed Jul  1 11:09:46 2015	edc	-82
Wed Jul  1 11:09:46 2015	edc	-90
Wed Jul  1 11:09:46 2015	edc	-89
Wed Jul  1 11:09:46 2015	GX15	-88
Wed Jul  1 11:09:46 2015	GX15	-85
Wed Jul  1 11:09:46 2015	GX15	-86
Wed Jul  1 11:10:01 2015	-90
Wed Jul  1 11:10:02 2015	GX15	-90
Wed Jul  1 11:10:12 2015	GX15	-88
Wed Jul  1 11:10:12 2015	GX15	-85
Wed Jul  1 11:10:23 2015	GX15	-83
Wed Jul  1 11:10:23 2015	GX15	-87
Wed Jul  1 11:10:33 2015	GX15	-88
Wed Jul  1 11:10:33 2015	GX15	-86
Wed Jul  1 11:10:33 2015	GX15	-89
Wed Jul  1 11:10:54 2015	GX15	-87
Wed Jul  1 11:10:54 2015	GX15	-85
Wed Jul  1 11:11:15 2015	GX15	-89
Wed Jul  1 11:11:15 2015	GX15	-85
Wed Jul  1 11:11:15 2015	GX15	-87
Wed Jul  1 11:11:15 2015	GX15	-90
Wed Jul  1 11:11:26 2015	GX15	-89
Wed Jul  1 11:11:26 2015	GX15	-85
Wed Jul  1 11:11:26 2015	GX15	-92
Wed Jul  1 11:11:47 2015	GX15	-85
Wed Jul  1 11:11:57 2015	GX15	-87
Wed Jul  1 11:12:08 2015	GX15	-88
Wed Jul  1 11:12:08 2015	GX15	-86
Wed Jul  1 11:12:08 2015	GX15	-87
Wed Jul  1 11:12:18 2015	GX15	-84
Wed Jul  1 11:12:18 2015	GX15	-85
Wed Jul  1 11:12:18 2015	GX15	-86
Wed Jul  1 11:12:18 2015	SEC02GJ54SDV7M	-91
Wed Jul  1 11:14:24 2015	GX15	-85
Wed Jul  1 11:14:24 2015	GX15	-88
Wed Jul  1 11:14:40 2015	-88
Wed Jul  1 11:14:51 2015	edc	-92
Wed Jul  1 11:14:51 2015	GX15	-86
Wed Jul  1 11:15:01 2015	GX15	-85
Wed Jul  1 11:15:48 2015	-90
Wed Jul  1 11:16:30 2015	SEC02GJ54SDV7M	-90
